hasOldNr,Signature
FR 87,SGV_12N_14187
FR 88,SGV_12N_14188
FR 89,SGV_12N_14189
FR 90,SGV_12N_14190
FR 91,SGV_12N_14191
FR 92,SGV_12N_14192
FR 93,SGV_12N_14193
FR 94,SGV_12N_14194
FR 95,SGV_12N_14195
FR 96,SGV_12N_14196
FR 97,SGV_12N_14197
FR 98,SGV_12N_14198
FR 99,SGV_12N_14199
FR 100,SGV_12N_14200
FS 1,SGV_12N_14201
FS 2,SGV_12N_14202
FS 3,SGV_12N_14203
FS 4,SGV_12N_14204
FS 5,SGV_12N_14205
FS 6,SGV_12N_14206
FS 7,SGV_12N_14207
FS 8,SGV_12N_14208
FS 9,SGV_12N_14209
FS 10,SGV_12N_14210
FS 11,SGV_12N_14211
FS 12,SGV_12N_14212
FS 13,SGV_12N_14213
FS 14,SGV_12N_14214
FS 15,SGV_12N_14215
FS 16,SGV_12N_14216
FS 17,SGV_12N_14217
FS 18,SGV_12N_14218
FS 19,SGV_12N_14219
FS 20,SGV_12N_14220
FS 21,SGV_12N_14221
FS 22,SGV_12N_14222
FS 23,SGV_12N_14223
FS 24,SGV_12N_14224
FS 25,SGV_12N_14225
FS 26,SGV_12N_14226
FS 27,SGV_12N_14227
FS 28,SGV_12N_14228
FS 29,SGV_12N_14229
FS 30,SGV_12N_14230
FS 31,SGV_12N_14231
FS 32,SGV_12N_14232
FS 33,SGV_12N_14233
FS 34,SGV_12N_14234
FS 35,SGV_12N_14235
FS 36,SGV_12N_14236
FS 37,SGV_12N_14237
FS 38,SGV_12N_14238
FS 39,SGV_12N_14239
FS 40,SGV_12N_14240
FS 41,SGV_12N_14241
FS 42,SGV_12N_14242
FS 43,SGV_12N_14243
FS 44,SGV_12N_14244
FS 45,SGV_12N_14245
FS 46,SGV_12N_14246
FS 47,SGV_12N_14247
FS 48,SGV_12N_14248
FS 49,SGV_12N_14249
FS 50,SGV_12N_14250
FS 51,SGV_12N_14251
FS 52,SGV_12N_14252
FS 53,SGV_12N_14253
FS 54,SGV_12N_14254
FS 55,SGV_12N_14255
FS 56,SGV_12N_14256
FS 57,SGV_12N_14257
FS 58,SGV_12N_14258
FS 59,SGV_12N_14259
FS 60,SGV_12N_14260
FS 61,SGV_12N_14261
FS 62,SGV_12N_14262
FS 63,SGV_12N_14263
FS 64,SGV_12N_14264
FS 65,SGV_12N_14265
FS 66,SGV_12N_14266
FS 67,SGV_12N_14267
FS 68,SGV_12N_14268
FS 69,SGV_12N_14269
FS 70,SGV_12N_14270
FS 71,SGV_12N_14271
FS 72,SGV_12N_14272
FS 73,SGV_12N_14273
FS 74,SGV_12N_14274
FS 75,SGV_12N_14275
FS 76,SGV_12N_14276
FS 77,SGV_12N_14277
FS 78,SGV_12N_14278
FS 79,SGV_12N_14279
FS 80,SGV_12N_14280
FS 81,SGV_12N_14281
FS 82,SGV_12N_14282
FS 83,SGV_12N_14283
FS 84,SGV_12N_14284
FS 85,SGV_12N_14285
FS 86,SGV_12N_14286
FS 87,SGV_12N_14287
FS 88,SGV_12N_14288
FS 89,SGV_12N_14289
FS 90,SGV_12N_14290
FS 91,SGV_12N_14291
FS 92,SGV_12N_14292
FS 93,SGV_12N_14293
FS 94,SGV_12N_14294
FS 95,SGV_12N_14295
FS 96,SGV_12N_14296
FS 97,SGV_12N_14297
FS 98,SGV_12N_14298
FS 99,SGV_12N_14299
FS 100,SGV_12N_14300
FT 1,SGV_12N_14301
FT 2,SGV_12N_14302
FT 3,SGV_12N_14303
FT 4,SGV_12N_14304
FT 5,SGV_12N_14305
FT 6,SGV_12N_14306
FT 7,SGV_12N_14307
FT 8,SGV_12N_14308
FT 9,SGV_12N_14309
FT 10,SGV_12N_14310
FT 11,SGV_12N_14311
FT 12,SGV_12N_14312
FT 13,SGV_12N_14313
FT 14,SGV_12N_14314
FT 15,SGV_12N_14315
FT 16,SGV_12N_14316
FT 17,SGV_12N_14317
FT 18,SGV_12N_14318
FT 19,SGV_12N_14319
FT 20,SGV_12N_14320
FT 21,SGV_12N_14321
FT 22,SGV_12N_14322
FT 23,SGV_12N_14323
FT 24,SGV_12N_14324
FT 25,SGV_12N_14325
FT 26,SGV_12N_14326
FT 27,SGV_12N_14327
FT 28,SGV_12N_14328
FT 29,SGV_12N_14329
FT 30,SGV_12N_14330
FT 31,SGV_12N_14331
FT 32,SGV_12N_14332
FT 33,SGV_12N_14333
FT 34,SGV_12N_14334
FT 35,SGV_12N_14335
FT 36,SGV_12N_14336
FT 37,SGV_12N_14337
FT 38,SGV_12N_14338
FT 39,SGV_12N_14339
FT 40,SGV_12N_14340
FT 41,SGV_12N_14341
FT 42,SGV_12N_14342
FT 43,SGV_12N_14343
FT 44,SGV_12N_14344
FT 45,SGV_12N_14345
FT 46,SGV_12N_14346
FT 47,SGV_12N_14347
FT 48,SGV_12N_14348
FT 49,SGV_12N_14349
FT 50,SGV_12N_14350
FT 51,SGV_12N_14351
FT 52,SGV_12N_14352
FT 53,SGV_12N_14353
FT 54,SGV_12N_14354
FT 55,SGV_12N_14355
FT 56,SGV_12N_14356
FT 57,SGV_12N_14357
FT 58,SGV_12N_14358
FT 59,SGV_12N_14359
FT 60,SGV_12N_14360
FT 61,SGV_12N_14361
FT 62,SGV_12N_14362
FT 63,SGV_12N_14363
FT 64,SGV_12N_14364
FT 65,SGV_12N_14365
FT 66,SGV_12N_14366
FT 67,SGV_12N_14367
FT 68,SGV_12N_14368
FT 69,SGV_12N_14369
FT 70,SGV_12N_14370
FT 71,SGV_12N_14371
FT 72,SGV_12N_14372
FT 73,SGV_12N_14373
FT 74,SGV_12N_14374
FT 75,SGV_12N_14375
FT 76,SGV_12N_14376
FT 77,SGV_12N_14377
FT 78,SGV_12N_14378
FT 79,SGV_12N_14379
FT 80,SGV_12N_14380
FT 81,SGV_12N_14381
FT 82,SGV_12N_14382
FT 83,SGV_12N_14383
FT 84,SGV_12N_14384
FT 85,SGV_12N_14385
FT 86,SGV_12N_14386
FT 87,SGV_12N_14387
FT 88,SGV_12N_14388
FT 89,SGV_12N_14389
FT 90,SGV_12N_14390
FT 91,SGV_12N_14391
FT 92,SGV_12N_14392
FT 93,SGV_12N_14393
FT 94,SGV_12N_14394
FT 95,SGV_12N_14395
FT 96,SGV_12N_14396
FT 97,SGV_12N_14397
FT 98,SGV_12N_14398
FT 99,SGV_12N_14399
FT 100,SGV_12N_14400
FU 1,SGV_12N_14401
FU 2,SGV_12N_14402
FU 3,SGV_12N_14403
FU 4,SGV_12N_14404
FU 5,SGV_12N_14405
FU 6,SGV_12N_14406
FU 7,SGV_12N_14407
FU 8,SGV_12N_14408
FU 9,SGV_12N_14409
FU 10,SGV_12N_14410
FU 11,SGV_12N_14411
FU 12,SGV_12N_14412
FU 13,SGV_12N_14413
FU 14,SGV_12N_14414
FU 15,SGV_12N_14415
FU 16,SGV_12N_14416
FU 17,SGV_12N_14417
FU 18,SGV_12N_14418
FU 19,SGV_12N_14419
FU 20,SGV_12N_14420
FU 21,SGV_12N_14421
FU 22,SGV_12N_14422
FU 23,SGV_12N_14423
FU 24,SGV_12N_14424
FU 25,SGV_12N_14425
FU 26,SGV_12N_14426
FU 27,SGV_12N_14427
FU 28,SGV_12N_14428
FU 29,SGV_12N_14429
FU 30,SGV_12N_14430
FU 31,SGV_12N_14431
FU 32,SGV_12N_14432
FU 33,SGV_12N_14433
FU 34,SGV_12N_14434
FU 35,SGV_12N_14435
FU 36,SGV_12N_14436
FU 37,SGV_12N_14437
FU 38,SGV_12N_14438
FU 39,SGV_12N_14439
FU 40,SGV_12N_14440
FU 41,SGV_12N_14441
FU 42,SGV_12N_14442
FU 43,SGV_12N_14443
FU 44,SGV_12N_14444
FU 45,SGV_12N_14445
FU 46,SGV_12N_14446
FU 47,SGV_12N_14447
FU 48,SGV_12N_14448
FU 49,SGV_12N_14449
FU 50,SGV_12N_14450
FU 51,SGV_12N_14451
FU 52,SGV_12N_14452
FU 53,SGV_12N_14453
FU 54,SGV_12N_14454
FU 55,SGV_12N_14455
FU 56,SGV_12N_14456
FU 57,SGV_12N_14457
FU 58,SGV_12N_14458
FU 59,SGV_12N_14459
FU 60,SGV_12N_14460
FU 61,SGV_12N_14461
FU 62,SGV_12N_14462
FU 63,SGV_12N_14463
FU 64,SGV_12N_14464
FU 65,SGV_12N_14465
FU 66,SGV_12N_14466
FU 67,SGV_12N_14467
FU 68,SGV_12N_14468
FU 69,SGV_12N_14469
FU 70,SGV_12N_14470
FU 71,SGV_12N_14471
FU 72,SGV_12N_14472
FU 73,SGV_12N_14473
FU 74,SGV_12N_14474
FU 75,SGV_12N_14475
FU 76,SGV_12N_14476
FU 77,SGV_12N_14477
FU 78,SGV_12N_14478
FU 79,SGV_12N_14479
FU 80,SGV_12N_14480
FU 81,SGV_12N_14481
FU 82,SGV_12N_14482
FU 83,SGV_12N_14483
FU 84,SGV_12N_14484
FU 85,SGV_12N_14485
FU 86,SGV_12N_14486
FU 87,SGV_12N_14487
FU 88,SGV_12N_14488
FU 89,SGV_12N_14489
FU 90,SGV_12N_14490
FU 91,SGV_12N_14491
FU 92,SGV_12N_14492
FU 93,SGV_12N_14493
FU 94,SGV_12N_14494
FU 95,SGV_12N_14495
FU 96,SGV_12N_14496
FU 97,SGV_12N_14497
FU 98,SGV_12N_14498
FU 99,SGV_12N_14499
FU 100,SGV_12N_14500
FV 1,SGV_12N_14501
FV 2,SGV_12N_14502
FV 3,SGV_12N_14503
FV 4,SGV_12N_14504
FV 5,SGV_12N_14505
FV 6,SGV_12N_14506
FV 7,SGV_12N_14507
FV 8,SGV_12N_14508
FV 9,SGV_12N_14509
FV 10,SGV_12N_14510
FV 11,SGV_12N_14511
FV 12,SGV_12N_14512
FV 13,SGV_12N_14513
FV 14,SGV_12N_14514
FV 15,SGV_12N_14515
FV 16,SGV_12N_14516
FV 17,SGV_12N_14517
FV 18,SGV_12N_14518
FV 19,SGV_12N_14519
FV 20,SGV_12N_14520
FV 21,SGV_12N_14521
FV 22,SGV_12N_14522
FV 23,SGV_12N_14523
FV 24,SGV_12N_14524
FV 25,SGV_12N_14525
FV 26,SGV_12N_14526
FV 27,SGV_12N_14527
FV 28,SGV_12N_14528
FV 29,SGV_12N_14529
FV 30,SGV_12N_14530
FV 31,SGV_12N_14531
FV 32,SGV_12N_14532
FV 33,SGV_12N_14533
FV 34,SGV_12N_14534
FV 35,SGV_12N_14535
FV 36,SGV_12N_14536
FV 37,SGV_12N_14537
FV 38,SGV_12N_14538
FV 39,SGV_12N_14539
FV 40,SGV_12N_14540
FV 41,SGV_12N_14541
FV 42,SGV_12N_14542
FV 43,SGV_12N_14543
FV 44,SGV_12N_14544
FV 45,SGV_12N_14545
FV 46,SGV_12N_14546
FV 47,SGV_12N_14547
FV 48,SGV_12N_14548
FV 49,SGV_12N_14549
FV 50,SGV_12N_14550
FV 51,SGV_12N_14551
FV 52,SGV_12N_14552
FV 53,SGV_12N_14553
FV 54,SGV_12N_14554
FV 55,SGV_12N_14555
FV 56,SGV_12N_14556
FV 57,SGV_12N_14557
FV 58,SGV_12N_14558
FV 59,SGV_12N_14559
FV 60,SGV_12N_14560
FV 61,SGV_12N_14561
FV 62,SGV_12N_14562
FV 63,SGV_12N_14563
FV 64,SGV_12N_14564
FV 65,SGV_12N_14565
FV 66,SGV_12N_14566
FV 67,SGV_12N_14567
FV 68,SGV_12N_14568
FV 69,SGV_12N_14569
FV 70,SGV_12N_14570
FV 71,SGV_12N_14571
FV 72,SGV_12N_14572
FV 73,SGV_12N_14573
FV 74,SGV_12N_14574
FV 75,SGV_12N_14575
FV 76,SGV_12N_14576
FV 77,SGV_12N_14577
FV 78,SGV_12N_14578
FV 79,SGV_12N_14579
FV 80,SGV_12N_14580
FV 81,SGV_12N_14581
FV 82,SGV_12N_14582
FV 83,SGV_12N_14583
FV 84,SGV_12N_14584
FV 85,SGV_12N_14585
FV 86,SGV_12N_14586
FV 87,SGV_12N_14587
FV 88,SGV_12N_14588
FV 89,SGV_12N_14589
FV 90,SGV_12N_14590
FV 91,SGV_12N_14591
FV 92,SGV_12N_14592
FV 93,SGV_12N_14593
FV 94,SGV_12N_14594
FV 95,SGV_12N_14595
FV 96,SGV_12N_14596
FV 97,SGV_12N_14597
FV 98,SGV_12N_14598
FV 99,SGV_12N_14599
FV 100,SGV_12N_14600
FW 1,SGV_12N_14601
FW 2,SGV_12N_14602
FW 3,SGV_12N_14603
FW 4,SGV_12N_14604
FW 5,SGV_12N_14605
FW 6,SGV_12N_14606
FW 7,SGV_12N_14607
FW 8,SGV_12N_14608
FW 9,SGV_12N_14609
FW 10,SGV_12N_14610
FW 11,SGV_12N_14611
FW 12,SGV_12N_14612
FW 13,SGV_12N_14613
FW 14,SGV_12N_14614
FW 15,SGV_12N_14615
FW 16,SGV_12N_14616
FW 17,SGV_12N_14617
FW 18,SGV_12N_14618
FW 19,SGV_12N_14619
FW 20,SGV_12N_14620
FW 21,SGV_12N_14621
FW 22,SGV_12N_14622
FW 23,SGV_12N_14623
FW 24,SGV_12N_14624
FW 25,SGV_12N_14625
FW 26,SGV_12N_14626
FW 27,SGV_12N_14627
FW 28,SGV_12N_14628
FW 29,SGV_12N_14629
FW 30,SGV_12N_14630
FW 31,SGV_12N_14631
FW 32,SGV_12N_14632
FW 33,SGV_12N_14633
FW 34,SGV_12N_14634
FW 35,SGV_12N_14635
FW 36,SGV_12N_14636
FW 37,SGV_12N_14637
FW 38,SGV_12N_14638
FW 39,SGV_12N_14639
FW 40,SGV_12N_14640
FW 41,SGV_12N_14641
FW 42,SGV_12N_14642
FW 43,SGV_12N_14643
FW 44,SGV_12N_14644
FW 45,SGV_12N_14645
FW 46,SGV_12N_14646
FW 47,SGV_12N_14647
FW 48,SGV_12N_14648
FW 49,SGV_12N_14649
FW 50,SGV_12N_14650
FW 51,SGV_12N_14651
FW 52,SGV_12N_14652
FW 53,SGV_12N_14653
FW 54,SGV_12N_14654
FW 55,SGV_12N_14655
FW 56,SGV_12N_14656
FW 57,SGV_12N_14657
FW 58,SGV_12N_14658
FW 59,SGV_12N_14659
FW 60,SGV_12N_14660
FW 61,SGV_12N_14661
FW 62,SGV_12N_14662
FW 63,SGV_12N_14663
FW 64,SGV_12N_14664
FW 65,SGV_12N_14665
FW 66,SGV_12N_14666
FW 67,SGV_12N_14667
FW 68,SGV_12N_14668
FW 69,SGV_12N_14669
FW 70,SGV_12N_14670
FW 71,SGV_12N_14671
FW 72,SGV_12N_14672
FW 73,SGV_12N_14673
FW 74,SGV_12N_14674
FW 75,SGV_12N_14675
FW 76,SGV_12N_14676
FW 77,SGV_12N_14677
FW 78,SGV_12N_14678
FW 79,SGV_12N_14679
FW 80,SGV_12N_14680
FW 81,SGV_12N_14681
FW 82,SGV_12N_14682
FW 83,SGV_12N_14683
FW 84,SGV_12N_14684
FW 85,SGV_12N_14685
FW 86,SGV_12N_14686
FW 87,SGV_12N_14687
FW 88,SGV_12N_14688
FW 89,SGV_12N_14689
FW 90,SGV_12N_14690
FW 91,SGV_12N_14691
FW 92,SGV_12N_14692
FW 93,SGV_12N_14693
FW 94,SGV_12N_14694
FW 95,SGV_12N_14695
FW 96,SGV_12N_14696
FW 97,SGV_12N_14697
FW 98,SGV_12N_14698
FW 99,SGV_12N_14699
FW 100,SGV_12N_14700
FX 1,SGV_12N_14701
FX 2,SGV_12N_14702
FX 3,SGV_12N_14703
FX 4,SGV_12N_14704
FX 5,SGV_12N_14705
FX 6,SGV_12N_14706
FX 7,SGV_12N_14707
FX 8,SGV_12N_14708
FX 9,SGV_12N_14709
FX 10,SGV_12N_14710
FX 11,SGV_12N_14711
FX 12,SGV_12N_14712
FX 13,SGV_12N_14713
FX 14,SGV_12N_14714
FX 15,SGV_12N_14715
FX 16,SGV_12N_14716
FX 17,SGV_12N_14717
FX 18,SGV_12N_14718
FX 19,SGV_12N_14719
FX 20,SGV_12N_14720
FX 21,SGV_12N_14721
FX 22,SGV_12N_14722
FX 23,SGV_12N_14723
FX 24,SGV_12N_14724
FX 25,SGV_12N_14725
FX 26,SGV_12N_14726
FX 27,SGV_12N_14727
FX 28,SGV_12N_14728
FX 29,SGV_12N_14729
FX 30,SGV_12N_14730
FX 31,SGV_12N_14731
FX 32,SGV_12N_14732
FX 33,SGV_12N_14733
FX 34,SGV_12N_14734
FX 35,SGV_12N_14735
FX 36,SGV_12N_14736
FX 37,SGV_12N_14737
FX 38,SGV_12N_14738
FX 39,SGV_12N_14739
FX 40,SGV_12N_14740
FX 41,SGV_12N_14741
FX 42,SGV_12N_14742
FX 43,SGV_12N_14743
FX 44,SGV_12N_14744
FX 45,SGV_12N_14745
FX 46,SGV_12N_14746
FX 47,SGV_12N_14747
FX 48,SGV_12N_14748
FX 49,SGV_12N_14749
FX 50,SGV_12N_14750
FX 51,SGV_12N_14751
FX 52,SGV_12N_14752
FX 53,SGV_12N_14753
FX 54,SGV_12N_14754
FX 55,SGV_12N_14755
FX 56,SGV_12N_14756
FX 57,SGV_12N_14757
FX 58,SGV_12N_14758
FX 59,SGV_12N_14759
FX 60,SGV_12N_14760
FX 61,SGV_12N_14761
FX 62,SGV_12N_14762
FX 63,SGV_12N_14763
FX 64,SGV_12N_14764
FX 65,SGV_12N_14765
FX 66,SGV_12N_14766
FX 67,SGV_12N_14767
FX 68,SGV_12N_14768
FX 69,SGV_12N_14769
FX 70,SGV_12N_14770
FX 71,SGV_12N_14771
FX 72,SGV_12N_14772
FX 73,SGV_12N_14773
FX 74,SGV_12N_14774
FX 75,SGV_12N_14775
FX 76,SGV_12N_14776
FX 77,SGV_12N_14777
FX 78,SGV_12N_14778
FX 79,SGV_12N_14779
FX 80,SGV_12N_14780
FX 81,SGV_12N_14781
FX 82,SGV_12N_14782
FX 83,SGV_12N_14783
FX 84,SGV_12N_14784
FX 85,SGV_12N_14785
FX 86,SGV_12N_14786
FX 87,SGV_12N_14787
FX 88,SGV_12N_14788
FX 89,SGV_12N_14789
FX 90,SGV_12N_14790
FX 91,SGV_12N_14791
FX 92,SGV_12N_14792
FX 93,SGV_12N_14793
FX 94,SGV_12N_14794
FX 95,SGV_12N_14795
FX 96,SGV_12N_14796
FX 97,SGV_12N_14797
FX 98,SGV_12N_14798
FX 99,SGV_12N_14799
FX 100,SGV_12N_14800
FY 1,SGV_12N_14801
FY 2,SGV_12N_14802
FY 3,SGV_12N_14803
FY 4,SGV_12N_14804
FY 5,SGV_12N_14805
FY 6,SGV_12N_14806
FY 7,SGV_12N_14807
FY 8,SGV_12N_14808
FY 9,SGV_12N_14809
FY 10,SGV_12N_14810
FY 11,SGV_12N_14811
FY 12,SGV_12N_14812
FY 13,SGV_12N_14813
FY 14,SGV_12N_14814
FY 15,SGV_12N_14815
FY 16,SGV_12N_14816
FY 17,SGV_12N_14817
FY 18,SGV_12N_14818
FY 19,SGV_12N_14819
FY 20,SGV_12N_14820
FY 21,SGV_12N_14821
FY 22,SGV_12N_14822
FY 23,SGV_12N_14823
FY 24,SGV_12N_14824
FY 25,SGV_12N_14825
FY 26,SGV_12N_14826
FY 27,SGV_12N_14827
FY 28,SGV_12N_14828
FY 29,SGV_12N_14829
FY 30,SGV_12N_14830
FY 31,SGV_12N_14831
FY 32,SGV_12N_14832
FY 33,SGV_12N_14833
FY 34,SGV_12N_14834
FY 35,SGV_12N_14835
FY 36,SGV_12N_14836
FY 37,SGV_12N_14837
FY 38,SGV_12N_14838
FY 39,SGV_12N_14839
FY 40,SGV_12N_14840
FY 41,SGV_12N_14841
FY 42,SGV_12N_14842
FY 43,SGV_12N_14843
FY 44,SGV_12N_14844
FY 45,SGV_12N_14845
FY 46,SGV_12N_14846
FY 47,SGV_12N_14847
FY 48,SGV_12N_14848
FY 49,SGV_12N_14849
FY 50,SGV_12N_14850
FY 51,SGV_12N_14851
FY 52,SGV_12N_14852
FY 53,SGV_12N_14853
FY 54,SGV_12N_14854
FY 55,SGV_12N_14855
FY 56,SGV_12N_14856
FY 57,SGV_12N_14857
FY 58,SGV_12N_14858
FY 59,SGV_12N_14859
FY 60,SGV_12N_14860
FY 61,SGV_12N_14861
FY 62,SGV_12N_14862
FY 63,SGV_12N_14863
FY 64,SGV_12N_14864
FY 65,SGV_12N_14865
FY 66,SGV_12N_14866
FY 67,SGV_12N_14867
FY 68,SGV_12N_14868
FY 69,SGV_12N_14869
FY 70,SGV_12N_14870
FY 71,SGV_12N_14871
FY 72,SGV_12N_14872
FY 73,SGV_12N_14873
FY 74,SGV_12N_14874
FY 75,SGV_12N_14875
FY 76,SGV_12N_14876
FY 77,SGV_12N_14877
FY 78,SGV_12N_14878
FY 79,SGV_12N_14879
FY 80,SGV_12N_14880
FY 81,SGV_12N_14881
FY 82,SGV_12N_14882
FY 83,SGV_12N_14883
FY 84,SGV_12N_14884
FY 85,SGV_12N_14885
FY 86,SGV_12N_14886
FY 87,SGV_12N_14887
FY 88,SGV_12N_14888
FY 89,SGV_12N_14889
FY 90,SGV_12N_14890
FY 91,SGV_12N_14891
FY 92,SGV_12N_14892
FY 93,SGV_12N_14893
FY 94,SGV_12N_14894
FY 95,SGV_12N_14895
FY 96,SGV_12N_14896
FY 97,SGV_12N_14897
FY 98,SGV_12N_14898
FY 99,SGV_12N_14899
FY 100,SGV_12N_14900
FZ 1,SGV_12N_14901
FZ 2,SGV_12N_14902
FZ 3,SGV_12N_14903
FZ 4,SGV_12N_14904
FZ 5,SGV_12N_14905
FZ 6,SGV_12N_14906
FZ 7,SGV_12N_14907
FZ 8,SGV_12N_14908
FZ 9,SGV_12N_14909
FZ 10,SGV_12N_14910
FZ 11,SGV_12N_14911
FZ 12,SGV_12N_14912
FZ 13,SGV_12N_14913
FZ 14,SGV_12N_14914
FZ 15,SGV_12N_14915
FZ 16,SGV_12N_14916
FZ 17,SGV_12N_14917
FZ 18,SGV_12N_14918
FZ 19,SGV_12N_14919
FZ 20,SGV_12N_14920
FZ 21,SGV_12N_14921
FZ 22,SGV_12N_14922
FZ 23,SGV_12N_14923
FZ 24,SGV_12N_14924
FZ 25,SGV_12N_14925
FZ 26,SGV_12N_14926
FZ 27,SGV_12N_14927
FZ 28,SGV_12N_14928
FZ 29,SGV_12N_14929
FZ 30,SGV_12N_14930
FZ 31,SGV_12N_14931
FZ 32,SGV_12N_14932
FZ 33,SGV_12N_14933
FZ 34,SGV_12N_14934
FZ 35,SGV_12N_14935
FZ 36,SGV_12N_14936
FZ 37,SGV_12N_14937
FZ 38,SGV_12N_14938
FZ 39,SGV_12N_14939
FZ 40,SGV_12N_14940
FZ 41,SGV_12N_14941
FZ 42,SGV_12N_14942
FZ 43,SGV_12N_14943
FZ 44,SGV_12N_14944
FZ 45,SGV_12N_14945
FZ 46,SGV_12N_14946
FZ 47,SGV_12N_14947
FZ 48,SGV_12N_14948
FZ 49,SGV_12N_14949
FZ 50,SGV_12N_14950
FZ 51,SGV_12N_14951
FZ 52,SGV_12N_14952
FZ 53,SGV_12N_14953
FZ 54,SGV_12N_14954
FZ 55,SGV_12N_14955
FZ 56,SGV_12N_14956
FZ 57,SGV_12N_14957
FZ 58,SGV_12N_14958
FZ 59,SGV_12N_14959
FZ 60,SGV_12N_14960
FZ 61,SGV_12N_14961
FZ 62,SGV_12N_14962
FZ 63,SGV_12N_14963
FZ 64,SGV_12N_14964
FZ 65,SGV_12N_14965
FZ 66,SGV_12N_14966
FZ 67,SGV_12N_14967
FZ 68,SGV_12N_14968
FZ 69,SGV_12N_14969
FZ 70,SGV_12N_14970
FZ 71,SGV_12N_14971
FZ 72,SGV_12N_14972
FZ 73,SGV_12N_14973
FZ 74,SGV_12N_14974
FZ 75,SGV_12N_14975
FZ 76,SGV_12N_14976
FZ 77,SGV_12N_14977
FZ 78,SGV_12N_14978
FZ 79,SGV_12N_14979
FZ 80,SGV_12N_14980
FZ 81,SGV_12N_14981
FZ 82,SGV_12N_14982
FZ 83,SGV_12N_14983
FZ 84,SGV_12N_14984
FZ 85,SGV_12N_14985
FZ 86,SGV_12N_14986
FZ 87,SGV_12N_14987
FZ 88,SGV_12N_14988
FZ 89,SGV_12N_14989
FZ 90,SGV_12N_14990
FZ 91,SGV_12N_14991
FZ 92,SGV_12N_14992
FZ 93,SGV_12N_14993
FZ 94,SGV_12N_14994
FZ 95,SGV_12N_14995
FZ 96,SGV_12N_14996
FZ 97,SGV_12N_14997
FZ 98,SGV_12N_14998
FZ 99,SGV_12N_14999
FZ 100,SGV_12N_15000
GA 1,SGV_12N_15001
GA 2,SGV_12N_15002
GA 3,SGV_12N_15003
GA 4,SGV_12N_15004
GA 5,SGV_12N_15005
GA 6,SGV_12N_15006
GA 7,SGV_12N_15007
GA 8,SGV_12N_15008
GA 9,SGV_12N_15009
GA 10,SGV_12N_15010
GA 11,SGV_12N_15011
GA 12,SGV_12N_15012
GA 13,SGV_12N_15013
GA 14,SGV_12N_15014
GA 15,SGV_12N_15015
GA 16,SGV_12N_15016
GA 17,SGV_12N_15017
GA 18,SGV_12N_15018
GA 19,SGV_12N_15019
GA 20,SGV_12N_15020
GA 21,SGV_12N_15021
GA 22,SGV_12N_15022
GA 23,SGV_12N_15023
GA 24,SGV_12N_15024
GA 25,SGV_12N_15025
GA 26,SGV_12N_15026
GA 27,SGV_12N_15027
GA 28,SGV_12N_15028
GA 29,SGV_12N_15029
GA 30,SGV_12N_15030
GA 31,SGV_12N_15031
GA 32,SGV_12N_15032
GA 33,SGV_12N_15033
GA 34,SGV_12N_15034
GA 35,SGV_12N_15035
GA 36,SGV_12N_15036
GA 37,SGV_12N_15037
GA 38,SGV_12N_15038
GA 39,SGV_12N_15039
GA 40,SGV_12N_15040
GA 41,SGV_12N_15041
GA 42,SGV_12N_15042
GA 43,SGV_12N_15043
GA 44,SGV_12N_15044
GA 45,SGV_12N_15045
GA 46,SGV_12N_15046
GA 47,SGV_12N_15047
GA 48,SGV_12N_15048
GA 49,SGV_12N_15049
GA 50,SGV_12N_15050
GA 51,SGV_12N_15051
GA 52,SGV_12N_15052
GA 53,SGV_12N_15053
GA 54,SGV_12N_15054
GA 55,SGV_12N_15055
GA 56,SGV_12N_15056
GA 57,SGV_12N_15057
GA 58,SGV_12N_15058
GA 59,SGV_12N_15059
GA 60,SGV_12N_15060
GA 61,SGV_12N_15061
GA 62,SGV_12N_15062
GA 63,SGV_12N_15063
GA 64,SGV_12N_15064
GA 65,SGV_12N_15065
GA 66,SGV_12N_15066
GA 67,SGV_12N_15067
GA 68,SGV_12N_15068
GA 69,SGV_12N_15069
GA 70,SGV_12N_15070
GA 71,SGV_12N_15071
GA 72,SGV_12N_15072
GA 73,SGV_12N_15073
GA 74,SGV_12N_15074
GA 75,SGV_12N_15075
GA 76,SGV_12N_15076
GA 77,SGV_12N_15077
GA 78,SGV_12N_15078
GA 79,SGV_12N_15079
GA 80,SGV_12N_15080
GA 81,SGV_12N_15081
GA 82,SGV_12N_15082
GA 83,SGV_12N_15083
GA 84,SGV_12N_15084
GA 85,SGV_12N_15085
GA 86,SGV_12N_15086
GA 87,SGV_12N_15087
GA 88,SGV_12N_15088
GA 89,SGV_12N_15089
GA 90,SGV_12N_15090
GA 91,SGV_12N_15091
GA 92,SGV_12N_15092
GA 93,SGV_12N_15093
GA 94,SGV_12N_15094
GA 95,SGV_12N_15095
GA 96,SGV_12N_15096
GA 97,SGV_12N_15097
GA 98,SGV_12N_15098
GA 99,SGV_12N_15099
GA 100,SGV_12N_15100
GB 1,SGV_12N_15101
GB 2,SGV_12N_15102
GB 3,SGV_12N_15103
GB 4,SGV_12N_15104
GB 5,SGV_12N_15105
GB 6,SGV_12N_15106
GB 7,SGV_12N_15107
GB 8,SGV_12N_15108
GB 9,SGV_12N_15109
GB 10,SGV_12N_15110
GB 11,SGV_12N_15111
